Year,Month,Average Wind Speed (km/h),Std Dev,Average Temperature (C),Std Dev,Solar Radiation (kWh/m²)
2015
3,33.0466(16.0887),11.2387(5.21922),128.708
4,32.9843(16.9906),9.16056(5.60977),98.0297
5,26.8664(18.5),7.2235(4.70961),106.909
6,28.0298(17.2502),9.18003(4.49002),96.6577
7,25.3492(14.9193),9.08441(4.82811),92.8365
8,28.2936(17.696),8.47377(4.54054),102.9
9,30.4645(18.3502),6.18477(5.41717),119.445
10,29.6202(16.1708),10.6941(5.55644),141.17
11,33.9003(17.3377),10.3878(5.7432),136.126
12,37.103(16.8749),8.10644(6.92986),133.069
